Capital,State,Capital,State,Miles,Seconds
Little Rock,AR,Montgomery,AL,470,24615
Little Rock,AR,Phoenix,AZ,1298,68368
Phoenix,AZ,Montgomery,AL,1712,89970
Sacramento,CA,Montgomery,AL,2419,126273
Sacramento,CA,Little Rock,AR,1958,102466
Sacramento,CA,Phoenix,AZ,755,41321
Denver,CO,Montgomery,AL,1427,73583
Denver,CO,Little Rock,AR,966,49776
Denver,CO,Phoenix,AZ,821,45937
Denver,CO,Sacramento,CA,1166,61969
Hartford,CT,Montgomery,AL,1138,62180
Hartford,CT,Little Rock,AR,1355,72901
Hartford,CT,Phoenix,AZ,2537,135159
Hartford,CT,Sacramento,CA,2922,154154
Hartford,CT,Denver,CO,1880,99592
Dover,DE,Montgomery,AL,894,48682
Dover,DE,Little Rock,AR,1113,60241
Dover,DE,Phoenix,AZ,2360,127024
Dover,DE,Sacramento,CA,2813,149153
Dover,DE,Denver,CO,1745,93764
Dover,DE,Hartford,CT,284,16328
Tallahassee,FL,Montgomery,AL,211,13427
Tallahassee,FL,Little Rock,AR,672,37736
Tallahassee,FL,Phoenix,AZ,1884,97746
Tallahassee,FL,Sacramento,CA,2561,136849
Tallahassee,FL,Denver,CO,1630,86595
Tallahassee,FL,Hartford,CT,1216,65216
Tallahassee,FL,Dover,DE,964,51539
Atlanta,GA,Montgomery,AL,161,8647
Atlanta,GA,Little Rock,AR,519,27844
Atlanta,GA,Phoenix,AZ,1807,95417
Atlanta,GA,Sacramento,CA,2467,129688
Atlanta,GA,Denver,CO,1402,73390
Atlanta,GA,Hartford,CT,986,54081
Atlanta,GA,Dover,DE,735,40404
Atlanta,GA,Tallahassee,FL,261,15748
Des Moines,IA,Montgomery,AL,928,50266
Des Moines,IA,Little Rock,AR,616,31970
Des Moines,IA,Phoenix,AZ,1398,77268
Des Moines,IA,Sacramento,CA,1712,88863
Des Moines,IA,Denver,CO,671,34302
Des Moines,IA,Hartford,CT,1209,65609
Des Moines,IA,Dover,DE,1102,60541
Des Moines,IA,Tallahassee,FL,1139,63448
Des Moines,IA,Atlanta,GA,895,49067
Des Moines,IA,Boise,ID,1361,70150
Des Moines,IA,Springfield,IL,339,18216
Des Moines,IA,Indianapolis,IN,478,25728
Boise,ID,Montgomery,AL,2152,114459
Boise,ID,Little Rock,AR,1770,91644
Boise,ID,Phoenix,AZ,925,51156
Boise,ID,Sacramento,CA,553,30922
Boise,ID,Denver,CO,814,43380
Boise,ID,Hartford,CT,2568,135568
Boise,ID,Dover,DE,2461,130501
Boise,ID,Tallahassee,FL,2363,127641
Boise,ID,Atlanta,GA,2169,113907
Springfield,IL,Montgomery,AL,652,34521
Springfield,IL,Little Rock,AR,444,24440
Springfield,IL,Phoenix,AZ,1553,82195
Springfield,IL,Sacramento,CA,1958,102854
Springfield,IL,Denver,CO,913,47608
Springfield,IL,Hartford,CT,1043,57044
Springfield,IL,Dover,DE,869,48977
Springfield,IL,Tallahassee,FL,863,47703
Springfield,IL,Atlanta,GA,619,33322
Springfield,IL,Boise,ID,1607,84140
